type,rating,listed_in,release_year,duration_mins,cluster
1,11,262,2018,3.0,2
1,11,241,2020,5.0,2
0,9,5,1981,133.0,0
0,11,5,1982,140.0,0
0,9,5,1988,120.0,0
1,11,387,2019,1.0,1
1,11,498,2019,2.0,1
1,11,386,2018,1.0,1
1,9,264,2019,4.0,2
1,11,487,2020,6.0,1
1,11,265,2018,1.0,2
1,11,244,2018,1.0,2
1,11,291,2020,1.0,2
1,11,99,2018,1.0,0
1,11,409,2021,1.0,1
0,11,326,2021,135.0,2
1,11,241,2021,4.0,2
0,7,309,2021,111.0,2
1,9,382,2021,2.0,1
0,11,39,2021,159.0,0
0,9,220,2020,119.0,2
0,9,3,1981,139.0,0
0,9,52,2021,137.0,0
1,9,409,2021,1.0,1
1,9,394,2021,1.0,1
0,9,200,2021,101.0,2
0,12,199,2019,13.0,2
0,9,326,2015,12.0,2
1,11,480,2021,2.0,1
1,11,391,2021,1.0,1
0,11,319,2020,101.0,2
1,11,414,2021,1.0,1
1,11,80,2021,1.0,0
0,11,309,2019,96.0,2
0,8,199,2012,122.0,2
1,11,414,2021,3.0,1
0,9,200,2018,95.0,2
0,9,284,2019,89.0,2
1,11,400,2021,1.0,1
1,9,393,2021,1.0,1
0,7,318,2016,98.0,2
1,11,391,2020,3.0,1
1,12,300,2021,1.0,2
0,11,332,2021,119.0,2
0,11,39,2020,138.0,0
1,14,433,2020,1.0,1
1,11,247,2021,1.0,2
1,11,391,2021,1.0,1
0,11,274,1972,104.0,2
0,10,274,2021,273.0,2
0,8,211,2013,101.0,2
1,10,422,2021,1.0,1
1,13,422,2021,2.0,1
0,8,0,2020,99.0,0
0,11,274,2005,84.0,2
1,10,446,2014,1.0,1
0,9,274,2021,82.0,2
1,11,400,2021,1.0,1
1,11,512,2014,1.0,1
0,11,274,2020,97.0,2
0,11,345,2021,89.0,2
0,11,442,2021,36.0,1
0,11,442,2021,34.0,1
1,9,412,2021,2.0,1
0,11,442,2021,36.0,1
1,14,422,2016,2.0,1
1,11,242,2021,2.0,2
0,12,200,2021,113.0,2
0,6,141,2021,110.0,0
1,11,78,2021,1.0,0
0,9,68,2021,36.0,0
0,6,125,2021,102.0,0
0,8,207,2014,86.0,2
0,11,326,2012,91.0,2
0,11,326,2021,117.0,2
0,11,322,2014,99.0,2
1,11,397,2021,1.0,1
0,9,375,2019,77.0,1
0,11,344,2021,97.0,2
0,11,200,2013,106.0,2
1,12,446,2021,1.0,1
1,11,255,2021,2.0,2
0,11,319,2021,97.0,2
1,14,433,2018,2.0,1
0,7,28,2014,104.0,0
1,11,391,2007,1.0,1
0,8,318,2018,110.0,2
0,10,136,2021,61.0,0
0,11,329,2020,98.0,2
0,12,274,2021,74.0,2
1,11,461,2021,2.0,1
0,10,442,2015,60.0,1
0,10,442,2015,60.0,1
1,12,300,2021,1.0,2
0,9,220,2021,103.0,2
1,9,482,2021,1.0,1
0,9,220,2021,94.0,2
0,11,52,2021,112.0,0
0,11,470,2021,49.0,1
1,9,409,2021,1.0,1
0,11,200,2021,111.0,2
0,10,281,2020,58.0,2
0,9,283,2021,72.0,2
1,9,512,2021,1.0,1
1,11,394,2021,2.0,1
0,11,332,2019,78.0,2
0,7,313,2020,101.0,2
0,11,320,2012,110.0,2
0,7,0,2001,94.0,0
0,11,213,2009,70.0,2
1,11,80,2013,1.0,0
0,7,33,2000,118.0,0
1,13,422,2019,2.0,1
0,9,274,2021,99.0,2
0,8,337,1997,103.0,2
0,11,219,2021,95.0,2
0,11,199,2011,93.0,2
1,13,422,2021,3.0,1
0,8,36,2013,101.0,0
0,8,0,2003,101.0,0
0,7,513,2001,89.0,1
1,9,109,2015,6.0,0
0,11,274,2015,109.0,2
0,8,36,2008,104.0,0
0,6,203,2010,90.0,2
0,7,230,1997,109.0,2
0,9,200,2019,145.0,2
1,9,487,2012,3.0,1
0,8,270,2011,88.0,2
0,7,309,2001,132.0,2
0,8,199,1997,109.0,2
0,7,343,2004,133.0,2
0,9,320,2012,85.0,2
0,8,42,2011,104.0,0
0,8,0,2009,99.0,0
1,12,89,2006,1.0,0
0,8,359,2006,93.0,2
1,9,410,2021,1.0,1
0,9,39,2017,204.0,0
0,12,39,2017,212.0,0
0,8,0,2014,98.0,0
0,7,20,2004,101.0,0
0,6,16,1984,94.0,0
0,13,121,2021,25.0,0
0,8,0,2001,99.0,0
1,14,422,1993,1.0,1
0,6,230,1981,108.0,2
0,11,327,2015,106.0,2
0,7,513,2005,128.0,1
0,7,199,2015,104.0,2
0,7,203,1996,127.0,2
0,6,14,1976,136.0,0
1,9,414,2021,3.0,1
0,8,340,2018,97.0,2
0,8,345,2019,88.0,2
0,11,199,2019,97.0,2
0,8,513,2018,97.0,1
1,11,264,2020,2.0,2
0,11,470,2021,88.0,1
0,9,217,2021,103.0,2
0,7,309,2016,97.0,2
0,14,125,2021,88.0,0
1,11,488,2021,3.0,1
1,11,295,2021,2.0,2
1,9,405,2021,1.0,1
1,11,244,2021,1.0,2
0,12,139,2021,97.0,0
1,12,80,2021,1.0,0
0,11,353,2021,118.0,2
1,11,405,2021,2.0,1
0,11,470,2021,70.0,1
0,11,319,2018,91.0,2
0,11,331,2021,92.0,2
0,11,39,2021,120.0,0
1,9,291,2021,1.0,2
1,11,80,2016,3.0,0
0,11,281,2021,73.0,2
0,9,332,2014,110.0,2
0,6,133,2015,94.0,0
1,11,393,2021,1.0,1
1,11,488,2021,3.0,1
0,10,366,2020,61.0,1
0,9,328,2021,131.0,2
0,9,328,2021,131.0,2
0,9,328,2021,131.0,2
0,8,44,2021,148.0,0
0,11,274,2021,29.0,2
1,14,432,2021,3.0,1
0,11,326,2020,107.0,2
1,11,399,2021,2.0,1
0,9,319,2009,99.0,2
0,9,326,2011,92.0,2
0,11,282,2020,91.0,2
0,14,125,2021,47.0,0
1,11,487,2021,2.0,1
0,6,125,2011,88.0,0
0,9,332,2006,116.0,2
0,8,36,2014,109.0,0
0,8,513,2017,92.0,1
0,7,274,1998,87.0,2
1,13,422,1997,1.0,1
1,11,241,2021,2.0,2
0,9,274,2021,101.0,2
0,9,200,2021,140.0,2
0,8,323,2016,89.0,2
0,11,319,2021,81.0,2
1,13,422,2021,1.0,1
0,11,329,2020,116.0,2
1,11,292,2021,1.0,2
0,11,212,2021,99.0,2
0,11,332,2021,107.0,2
1,11,498,2021,1.0,1
1,11,454,2021,3.0,1
0,11,332,2021,107.0,2
0,14,125,2021,90.0,0
1,11,484,2021,2.0,1
1,11,412,2021,1.0,1
0,11,200,2018,104.0,2
1,9,419,2020,1.0,1
